Wilaya,Neighbors
Adrar,"Bechar, Tindouf, Tamanrasset"
Chlef,"Tipaza, AinDefla, Tiaret, Relizane, Mostaganem"
Laghouat,"Djelfa, Ghardaia, ElBayadh, Tiaret"
OumElBouaghi,"Batna, Khenchela, Biskra, Tebessa, Constantine"
Batna,"Khenchela, OumElBouaghi, Biskra, Msila"
Bejaia,"TiziOuzou, Bouira, Jijel, Setif"
Biskra,"Batna, Msila, OumElBouaghi, ElOued"
Blida,"Algiers, Boumerdes, Tipaza"
Bouira,"TiziOuzou, Msila, Boumerdes, Bejaia"
Tamanrasset,"Adrar, Illizi"
Tebessa,"OumElBouaghi, Khenchela, SoukAhras"
Tlemcen,"Naama, SidiBelAbbes, AinTemouchent"
Tiaret,"Chlef, AinDefla, Laghouat, Relizane, Tissemssilt"
TiziOuzou,"Bejaia, Boumerdes, Bouira"
Tindouf,Adrar
Tipaza,"Algiers, Chlef, Blida"
Djelfa,"Msila, Laghouat"
Jijel,"Bejaia, Skikda"
Setif,"Bejaia, Msila, BordjBouArreridj"
Saida,"SidiBelAbbes, Relizane"
SidiBelAbbes,"Oran, Mascara, Tlemcen"
Annaba,ElTarf
Constantine,"Skikda, OumElBouaghi"
Oran,"SidiBelAbbes, AinTemouchent"
ElOued,"Biskra, Touggourt"
Boumerdes,"Algiers, Blida, Bouira, TiziOuzou"
Naama,"Tlemcen, ElBayadh"
Mostaganem,Chlef
Ghardaia,"Ouargla, Laghouat, ElMenea"
AinTemouchent,"Oran, Tlemcen"
AinDefla,"Chlef, Tiaret"
ElMenea,Ghardaia
ElBayadh,"Naama, Laghouat"
Touggourt,"ElOued, Ouargla"
Ouargla,"Touggourt, Ghardaia, ElMenea"
Relizane,"Chlef, SidiBelAbbes, Saida, Tiaret"
BordjBouArreridj,"Setif, Msila"
Khenchela,"Batna, OumElBouaghi, Tebessa"
SoukAhras,"Tebessa, ElTarf"
ElTarf,"Annaba, SoukAhras"
Msila,"Biskra, Batna, Bouira, Djelfa, BordjBouArreridj"
Skikda,"Constantine, Jijel"
Mascara,"Saida, SidiBelAbbes, Relizane"
Guelma, "El Tarf, Annaba, Skikda, Constantine, OumElBouaghi, SoukAhras, Tebessa, Khenchela, Batna"
Medea, "Chlef, Ain Defla, Tipaza, Blida, Bouira, Ain Oussara"
Tissemsilt, "Ain Defla, Chlef, Tiaret, Mascara, Relizane"
Mila, "Jijel, Skikda, Constantine, OumElBouaghi, SoukAhras, Guelma, Tebessa"
